Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
clearText,Chrome 62.0.3202.94,,2018-06-18 17:50:07,2018-06-18 17:50:07,0.063s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:50:07,2018-06-18 17:50:07,0.145s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:50:07,2018-06-18 17:50:08,0.364s,PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2018-06-18 17:50:08,2018-06-18 17:50:39,31.411s,FAILED
,,,,,,
Test Cases/EditApp/EditAppInvalid,Chrome 62.0.3202.94,,2018-06-18 17:50:39,2018-06-18 17:51:15,35.823s,FAILED
appmanage.startTest.openbrowser,Chrome 62.0.3202.94,,2018-06-18 17:50:39,2018-06-18 17:50:42,2.710s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:50:42,2018-06-18 17:50:42,0.130s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:50:42,2018-06-18 17:50:42,0.314s,PASSED
clearText,Chrome 62.0.3202.94,,2018-06-18 17:50:42,2018-06-18 17:50:42,0.091s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:50:42,2018-06-18 17:50:42,0.091s,PASSED
clearText,Chrome 62.0.3202.94,,2018-06-18 17:50:42,2018-06-18 17:50:43,0.065s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:50:43,2018-06-18 17:50:43,0.116s,PASSED
selectOptionByIndex,Chrome 62.0.3202.94,,2018-06-18 17:50:43,2018-06-18 17:50:43,0.113s,PASSED
clearText,Chrome 62.0.3202.94,,2018-06-18 17:50:43,2018-06-18 17:50:43,0.064s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:50:43,2018-06-18 17:50:43,0.136s,PASSED
clearText,Chrome 62.0.3202.94,,2018-06-18 17:50:43,2018-06-18 17:50:43,0.064s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:50:43,2018-06-18 17:50:43,0.141s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:50:43,2018-06-18 17:50:44,0.408s,PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2018-06-18 17:50:44,2018-06-18 17:51:15,31.366s,FAILED
,,,,,,
